,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
MYOC,517.624149982542,-1.01540096540775,0.382916042689275,-2.65175874658173,0.00800737336416442,0.999306081618454
CNTN2,50.6675122983875,-1.08123409794056,0.40781719967822,-2.65127144905532,0.00801893644601484,0.999306081618454
BEND6,129.971005869806,0.81998632022863,0.309336462470787,2.65079103083772,0.00803035092229502,0.999306081618454
GBP4,2142.68639033885,0.553621767178392,0.209273345897228,2.64544806126562,0.00815828103381046,0.999306081618454
NHEJ1,266.086950807024,-0.376142902540633,0.142295487951971,-2.64339304045672,0.0082079694052093,0.999306081618454
KYNU,1295.36428924508,0.686618497973262,0.25992286245368,2.64162410144133,0.00825095731348007,0.999306081618454
SNORD116-20,1904.54940120054,-0.544172977200492,0.206378871842525,-2.63676689547813,0.00837003269119192,0.999306081618454
PDE2A,533.598096536944,-0.523592608514266,0.198677782151966,-2.63538581336577,0.00840416971226107,0.999306081618454
GTSF1,33.9068257004425,1.32211485869177,0.501731999983453,2.63510172509502,0.00841120711243197,0.999306081618454
MYD88,1044.32136959373,0.378242839580554,0.143879062517494,2.62889424605866,0.00856629959584507,0.999306081618454
TMPRSS6,58.5198558109027,1.03502953238003,0.394213253576654,2.62555741845136,0.00865072171269341,0.999306081618454
OR2M1P,1.84682306423147,4.70491421649216,1.79683369058019,2.61844723925059,0.00883309500491662,0.999306081618454
RNA18S5,2.33375204763863,-2.60765162848682,0.996646220484425,-2.61642654624161,0.00888554800354333,0.999306081618454
VCX3A,4.45431870406896,3.79721034700522,1.45144785243199,2.61615347781373,0.0088926575920537,0.999306081618454
IFNL1,4.71495537026995,-3.37748411427857,1.29247167561293,-2.61319778066074,0.00896993767583385,0.999306081618454
LMOD3,17.6218643745375,1.35187196460212,0.517404702518903,2.61279412038727,0.00898053825231994,0.999306081618454
DCLRE1B,250.171630660157,0.459193602776145,0.175752339034076,2.61273110389224,0.00898219414613517,0.999306081618454
PMS2P5,759.424536983146,-0.617614096214866,0.23706037808127,-2.60530292414844,0.0091793063695508,0.999306081618454
ZNF252P,823.027683164965,-0.246272671875793,0.0945447778268087,-2.60482575068214,0.00919209950439814,0.999306081618454
SLC35A4,345.643181299732,0.374756850239129,0.143959293025856,2.60321402225711,0.00923542806113424,0.999306081618454
RPA2,1035.3213707303,0.307725877070093,0.118218279865361,2.60303125219352,0.00924035300956125,0.999306081618454
SLC4A5,445.564020446335,-0.56083319913153,0.215922613634444,-2.59738056006037,0.00939377837850401,0.999306081618454
ALPK1,1885.09075840646,0.301613047270918,0.116235020867231,2.59485519097928,0.0094630779458208,0.999306081618454
TEDDM1,10.2032524231497,-2.23331776399023,0.862072118685534,-2.59063913051212,0.00957978889966238,0.999306081618454
BMS1P5,564.938653274587,-0.613464261311686,0.237051929027557,-2.58788976672014,0.00965658778045664,0.999306081618454
ZNF34,361.636088876942,-0.342730197448816,0.13252049390168,-2.58624298293889,0.00970285031840275,0.999306081618454
SNAPC3,1602.3958146697,-0.294110149574772,0.113735195848567,-2.58592028070507,0.0097119389975575,0.999306081618454
FAM155A,49.5169083343628,0.98465346951741,0.381204215187588,2.58300782175997,0.00979431024525245,0.999306081618454
HSD11B1,405.225865753582,0.771725047119952,0.298788636777575,2.58284603940424,0.00979890403270991,0.999306081618454
ZBED3,1.30139976861197,-3.14579842649231,1.21809216035019,-2.58256191845773,0.00980697625451117,0.999306081618454
CREBBP,28729.814008561,-0.133311236405055,0.0516783744889595,-2.57963292621627,0.00989053855083629,0.999306081618454
LOC100129940,32.1764026096621,-1.83536454261162,0.711623536101381,-2.57912287818168,0.0099051545744429,0.999306081618454
CCL5,869.189856638584,0.621300902132223,0.24131731466047,2.57462214431809,0.0100349647482087,0.999306081618454
TPX2,220.087101471349,0.600374182570472,0.233364663471906,2.5726867711604,0.0100912490871192,0.999306081618454
TMEM132B,100.969082225702,-0.875425964432563,0.340365545856592,-2.57201698318022,0.010110793175912,0.999306081618454
CFB,6656.09476571416,0.386060571552856,0.150127847675983,2.57154536969104,0.0101245748433285,0.999306081618454
PGPEP1L,14.7840696520461,-1.61456491582786,0.628387476772175,-2.56937793242056,0.0101881278280116,0.999306081618454
LOC102723604,45.3509078880564,0.920043434816407,0.358445386564772,2.5667604307418,0.0102653507374949,0.999306081618454
C20orf195,7.55698396904933,2.00846290847073,0.782512464088483,2.56668487806173,0.010267587447903,0.999306081618454
ELAC2,3706.88884133143,-0.191692189679747,0.0746902893486409,-2.56649413667367,0.010273236209459,0.999306081618454
PSG5,6.03124728012437,-3.41378936281734,1.33026188119716,-2.56625361597606,0.0102803631166827,0.999306081618454
IL32,758.736506881429,0.441101516585486,0.172614662349258,2.55541163526995,0.0106062287017805,0.999306081618454
PARK2,400.719318172947,-0.388959684420391,0.15229705565152,-2.55395406533921,0.0106507306425372,0.999306081618454
H6PD,3093.92741443459,-0.313693476521875,0.12290140678482,-2.55239939662449,0.0106983801002807,0.999306081618454
HDAC4,1289.39039947992,-0.302837809830849,0.118682136094969,-2.55167137865228,0.0107207584104602,0.999306081618454
FRMD4A,2810.13166454753,-0.184423031776599,0.0723145846380322,-2.55028819842804,0.010763390224491,0.999306081618454
TOMM22,331.532994047061,0.353036533997108,0.138450017144397,2.54992047873066,0.0107747492606616,0.999306081618454
MCAT,95.965870481758,-0.522446386065033,0.204911017540294,-2.54962564891026,0.0107838643903739,0.999306081618454
SCN3A,657.448355851001,-0.550494335651237,0.216019749901466,-2.54835187941073,0.0108233238202469,0.999306081618454
LOC729080,16.1991565046562,-1.02106841014421,0.401611014913671,-2.54243128855342,0.0110084243389247,0.999306081618454
BRSK2,93.6681823375634,-0.856695579673408,0.337277124203876,-2.54003464271581,0.0110841489281192,0.999306081618454
MED13L,34474.688088198,-0.154524941716473,0.0609324655274708,-2.53600343230501,0.0112125635130247,0.999306081618454
ZNF117,6462.46971928899,-0.490728335922574,0.193862090213385,-2.5313269622876,0.0113631869239345,0.999306081618454
BRWD1-IT2,1.4086538372735,3.66318129503287,1.44843903972129,2.52905451632796,0.0114370260878089,0.999306081618454
GPR88,2.58630480075436,2.11383337091556,0.83687549455157,2.52586362568572,0.0115414273338231,0.999306081618454
ARPIN,17.9644506617397,-0.899460285291666,0.356805419786796,-2.52087057934581,0.0117064899588037,0.999306081618454
EIF5A,4119.3106564181,0.214131221746908,0.084994156903884,2.51936403097755,0.0117567037644591,0.999306081618454
CERS3,11.2577415181891,-2.8155037163511,1.11794451713393,-2.51846462252813,0.0117867723634266,0.999306081618454
ADRB2,711.949639434024,-0.508113258387666,0.202026306258463,-2.5150846332735,0.0119003812502184,0.999306081618454
FAM150A,3.81943805709899,-4.04295224932214,1.61054651668359,-2.51029834124091,0.012062919888729,0.999306081618454
LONRF2,170.802688308099,-0.661535195898919,0.26360560849343,-2.50956419205097,0.0120880242992518,0.999306081618454
ADAMTS9,4621.37527586538,-0.565485202670271,0.225345765036611,-2.50941127106781,0.0120932592930158,0.999306081618454
UAP1,1743.5826453836,-0.334930764167782,0.13352756919103,-2.50832667887945,0.0121304461901674,0.999306081618454
USP36,2291.59718037948,-0.331532415794679,0.1322875345848,-2.50615008311427,0.0122053799784658,0.999306081618454
FCAR,87.9279408644117,1.07700789952274,0.429923821767441,2.50511333634666,0.0122412161131346,0.999306081618454
PIK3R4,1765.7417530043,-0.182481750973447,0.0728740731399394,-2.50406959719445,0.0122773880850335,0.999306081618454
TMTC2,600.273423537241,0.395860054790459,0.158173012691924,2.50270288245366,0.0123248963105113,0.999306081618454
KIAA0907,3018.73307215502,-0.273302399005379,0.109230454686206,-2.50207142129467,0.0123469014148049,0.999306081618454
RPL23AP87,24.1509549419116,-3.75624796212268,1.50275389857359,-2.49957625509279,0.0124341935784618,0.999306081618454
PI4KA,8828.93236240123,-0.163177305559484,0.0652977972371587,-2.49897105972551,0.0124554482274453,0.999306081618454
LOC441455,81.1033452686157,-0.757385700218122,0.303697603159352,-2.49388105911628,0.0126354876767392,0.999306081618454
LANCL3,13.0520237074811,1.33858272914042,0.537101151378429,2.49223582132537,0.0126941723886745,0.999306081618454
METTL4,430.864442313402,0.245147705830564,0.0983742684706386,2.49199012751726,0.0127029568218703,0.999306081618454
PLXNA2,1992.08161281252,-0.334950704579329,0.134459054205684,-2.4910981752627,0.0127348925470803,0.999306081618454
NUTM2B,1015.7392037309,-0.913524850346553,0.36687084900302,-2.49004480140376,0.0127726993557335,0.999306081618454
GLI4,99.3266481983073,-0.47346110685632,0.190349355272428,-2.4873270843429,0.0128707004726337,0.999306081618454
ZNF135,694.932220380345,-0.372941906869602,0.150176878102686,-2.4833510429921,0.0130152755435458,0.999306081618454
CHST5,6.84447691370106,-2.75847397823604,1.11257273343519,-2.4793650746041,0.0131616515537486,0.999306081618454
MX2,1034.60806025199,0.516226849767492,0.208578849856803,2.47497217537588,0.0133246556422861,0.999306081618454
PPIF,260.369143979061,0.641120942192733,0.259236685736439,2.47311039473999,0.0133942760603106,0.999306081618454
APBB2,5889.95583015366,-0.296516060785831,0.120043186775957,-2.47007821726055,0.0135083512372875,0.999306081618454
DCAF13,743.243708206918,0.305720936632059,0.123831742459772,2.46884143402387,0.0135551268598132,0.999306081618454
HIST3H3,16.4569337785047,-2.11429488543451,0.856755564530093,-2.46779241707539,0.0135949131913048,0.999306081618454
ECHDC2,805.758569597907,-0.375871155009997,0.152384906218949,-2.46659045397803,0.013640627144708,0.999306081618454
PRR13,1472.03221874889,0.231588309854419,0.0939287525115037,2.4655742109005,0.0136793835360436,0.999306081618454
